Species	Woodiness
Baldellia repens	herbaceous
Balfourodendron riedelianum	woody
Baliospermum montanum	conflicting (herbaceous vs. woody)
Balizia elegans	woody
Balizia pedicellaris	woody
Ballantinia antipoda	not assigned
Ballota acetabulosa	woody
Ballota africana	not assigned
Ballota damascena	not assigned
Ballota hirsuta	woody
Ballota hispanica	not assigned
Ballota nigra	herbaceous
Ballota rugosa	not assigned
Ballota saxatilis	not assigned
Baloghia inophylla	woody
Baloghia lucida	not assigned
Baloghia marmorata	not assigned
Baloskion australe	not assigned
Baloskion fimbriatum	not assigned
Baloskion gracile	not assigned
Baloskion longipes	not assigned
Baloskion pallens	not assigned
Baloskion stenocoleum	not assigned
Baloskion tenuiculme	not assigned
Baloskion tetraphyllum	not assigned
Balsamita major	not assigned
Balsamocarpon brevifolium	not assigned
Balsamorhiza careyana	herbaceous
Balsamorhiza deltoidea	not assigned
Balsamorhiza hookeri	herbaceous
Balsamorhiza macrophylla	herbaceous
Balsamorhiza sagittata	herbaceous
Balsamorhiza serrata	herbaceous
Balthasaria schliebenii	not assigned
Bambusa affinis	herbaceous
Bambusa alamii	herbaceous
Bambusa albolineata	herbaceous
Bambusa amahussana	herbaceous
Bambusa amplexicaulis	herbaceous
Bambusa amplexifolia	herbaceous
Bambusa angustiaurita	herbaceous
Bambusa angustissima	herbaceous
Bambusa arnhemica	herbaceous
Bambusa arundinacea	herbaceous
Bambusa aurinuda	herbaceous
Bambusa australis	herbaceous
Bambusa balcooa	herbaceous
Bambusa bambos	herbaceous
Bambusa basihirsuta	herbaceous
Bambusa beecheyana	herbaceous
Bambusa bicicatricata	herbaceous
Bambusa binghamii	herbaceous
Bambusa blumeana	herbaceous
Bambusa boniopsis	herbaceous
Bambusa brevispicula	herbaceous
Bambusa brunneoaciculia	herbaceous
Bambusa burmanica	herbaceous
Bambusa cacharensis	herbaceous
Bambusa cerosissima	herbaceous
Bambusa chungii	herbaceous
Bambusa chunii	herbaceous
Bambusa clavata	herbaceous
Bambusa comillensis	herbaceous
Bambusa contracta	herbaceous
Bambusa copelandii	herbaceous
Bambusa corniculata	herbaceous
Bambusa cornigera	herbaceous
Bambusa crispiaurita	herbaceous
Bambusa diaoluoshanensis	herbaceous
Bambusa dissimulator	herbaceous
Bambusa distegia	herbaceous
Bambusa dolichoclada	herbaceous
Bambusa duriuscula	herbaceous
Bambusa emeiensis	herbaceous
Bambusa eutuldoides	herbaceous
Bambusa farinacea	herbaceous
Bambusa fimbriligulata	herbaceous
Bambusa flexuosa	herbaceous
Bambusa fruticosa	herbaceous
Bambusa funghomii	herbaceous
Bambusa gibba	herbaceous
Bambusa gibboides	herbaceous
Bambusa glabro-vagina	herbaceous
Bambusa glaucophylla	herbaceous
Bambusa grandis	herbaceous
Bambusa griffithiana	herbaceous
Bambusa guadua	herbaceous
Bambusa guangxiensis	herbaceous
Bambusa hainanensis	herbaceous
Bambusa heterostachya	herbaceous
Bambusa horsfieldii	herbaceous
Bambusa inaurita	herbaceous
Bambusa indigena	herbaceous
Bambusa insularis	herbaceous
Bambusa intermedia	herbaceous
Bambusa jacobsii	herbaceous
Bambusa khasiana	herbaceous
Bambusa kingiana	herbaceous
Bambusa lako	herbaceous
Bambusa lapidea	herbaceous
Bambusa latideltata	herbaceous
Bambusa laxa	herbaceous
Bambusa lenta	herbaceous
Bambusa longipalea	herbaceous
Bambusa longispatha	herbaceous
Bambusa longispiculata	herbaceous
Bambusa macrolemma	herbaceous
Bambusa macrotis	herbaceous
Bambusa maculata	herbaceous
Bambusa malingensis	herbaceous
Bambusa marginata	herbaceous
Bambusa merrillii	herbaceous
Bambusa microcephala	herbaceous
Bambusa mollis	herbaceous
Bambusa moreheadiana	herbaceous
Bambusa multiplex	herbaceous
Bambusa mutabilis	herbaceous
Bambusa nepalensis	herbaceous
Bambusa nutans	herbaceous
Bambusa odashimae	herbaceous
Bambusa oldhamii	herbaceous
Bambusa oliveriana	herbaceous
Bambusa ooh	herbaceous
Bambusa pachinensis	herbaceous
Bambusa pallida	herbaceous
Bambusa papillata	herbaceous
Bambusa papillatoides	herbaceous
Bambusa pervariabilis	herbaceous
Bambusa pierreana	herbaceous
Bambusa piscatorum	herbaceous
Bambusa polymorpha	herbaceous
Bambusa procera	herbaceous
Bambusa prominens	herbaceous
Bambusa radicalis	herbaceous
Bambusa ramispinosa	herbaceous
Bambusa remotiflora	herbaceous
Bambusa riauensis	herbaceous
Bambusa rigida	herbaceous
Bambusa riparia	herbaceous
Bambusa rongchengensis	herbaceous
Bambusa rugata	herbaceous
Bambusa rutila	herbaceous
Bambusa salarkhanii	herbaceous
Bambusa schizostachyoides	herbaceous
Bambusa semitecta	herbaceous
Bambusa sesquiflora	herbaceous
Bambusa sinospinosa	herbaceous
Bambusa solomonensis	herbaceous
Bambusa stenoaurita	herbaceous
Bambusa subaequalis	herbaceous
Bambusa subtruncata	herbaceous
Bambusa surrecta	herbaceous
Bambusa teres	herbaceous
Bambusa textilis	herbaceous
Bambusa truncata	herbaceous
Bambusa tsangii	herbaceous
Bambusa tulda	herbaceous
Bambusa tuldoides	herbaceous
Bambusa utilis	herbaceous
Bambusa valida	herbaceous
Bambusa vario-striata	herbaceous
Bambusa villosula	herbaceous
Bambusa vinhphuensis	herbaceous
Bambusa viridis	herbaceous
Bambusa vulgaris	herbaceous
Bambusa wenchouensis	herbaceous
Bambusa xiashanensis	herbaceous
Bambusa xueana	herbaceous
Banara arguta	not assigned
Banara guianensis	woody
Banara mollis	not assigned
Banara nitida	woody
Banara parviflora	woody
Banara regia	not assigned
Banara umbraticola	woody
Banisteriopsis acapulcensis	not assigned
Banisteriopsis adenopoda	not assigned
Banisteriopsis anisandra	not assigned
Banisteriopsis argyrophylla	not assigned
Banisteriopsis caapi	not assigned
Banisteriopsis campestris	not assigned
Banisteriopsis cornifolia	not assigned
Banisteriopsis lucida	not assigned
Banisteriopsis lutea	not assigned
Banisteriopsis muricata	not assigned
Banisteriopsis nitrosiodora	not assigned
Banisteriopsis oxyclada	not assigned
Banisteriopsis platyptera	not assigned
Banisteriopsis pubipetala	not assigned
Banisteriopsis schwannioides	not assigned
Banisteriopsis stellaris	not assigned
Banisteriopsis wurdackii	not assigned
Banksia aculeata	not assigned
Banksia aemula	woody
Banksia ashbyi	not assigned
Banksia attenuata	woody
Banksia audax	not assigned
Banksia baueri	woody
Banksia baxteri	not assigned
Banksia benthamiana	not assigned
Banksia blechnifolia	not assigned
Banksia burdettii	not assigned
Banksia candolleana	not assigned
Banksia canei	not assigned
Banksia chamaephyton	not assigned
Banksia coccinea	woody
Banksia cuneata	not assigned
Banksia cunninghamii	not assigned
Banksia dentata	woody
Banksia elderiana	not assigned
Banksia epica	not assigned
Banksia ericifolia	woody
Banksia grandis	woody
Banksia grossa	not assigned
Banksia hookerana	woody
Banksia hookeriana	not assigned
Banksia ilicifolia	not assigned
Banksia integrifolia	woody
Banksia laevigata	not assigned
Banksia lanata	not assigned
Banksia lemanniana	woody
Banksia leptophylla	not assigned
Banksia littoralis	not assigned
Banksia marginata	woody
Banksia media	not assigned
Banksia menziesii	woody
Banksia micrantha	not assigned
Banksia oblongifolia	woody
Banksia occidentalis	not assigned
Banksia oreophila	not assigned
Banksia ornata	woody
Banksia paludosa	not assigned
Banksia penicillata	not assigned
Banksia pilostylis	not assigned
Banksia prionotes	not assigned
Banksia prostrata	not assigned
Banksia robur	woody
Banksia saxicola	not assigned
Banksia scabrella	not assigned
Banksia serrata	woody
Banksia serratifolia	woody
Banksia solandri	not assigned
Banksia speciosa	woody
Banksia sphaerocarpa	woody
Banksia spinulosa	woody
Banksia telmatiaea	woody
Banksia tricuspis	not assigned
Banksia verticillata	not assigned
Banksia violacea	not assigned
Baphia kirkii	woody
Baphia laurifolia	woody
Baphia leptostemma	not assigned
Baphia massaiensis	woody
Baphia nitida	woody
Baphia pubescens	woody
Baphia wollastonii	woody
Baptisia alba	herbaceous
Baptisia australis	herbaceous
Baptisia bracteata	not assigned
Baptisia commutata	not assigned
Baptisia leucantha	herbaceous
Baptisia leucophaea	herbaceous
Baptisia nuttalliana	not assigned
Baptisia tinctoria	herbaceous
Baptisia viridis	woody
Baptorhachis foliacea	herbaceous
Barbarea australis	not assigned
Barbarea bracteosa	not assigned
Barbarea grayi	not assigned
Barbarea intermedia	herbaceous
Barbarea plantaginea	not assigned
Barbarea praecox	not assigned
Barbarea sativus	not assigned
Barbarea stricta	herbaceous
Barbarea verna	herbaceous
Barbarea vulgaris	herbaceous
Barbeuia madagascariensis	woody
Barbeya oleoides	woody
Barjonia erecta	not assigned
Barkleyanthus salicifolius	not assigned
Barklya syringifolia	not assigned
Barleria acanthoides	herbaceous
Barleria albostellata	woody
Barleria her	woody
Barleria humbertii	woody
Barleria irritans	conflicting (herbaceous vs. woody)
Barleria lanceolata	conflicting (herbaceous vs. woody)
Barleria macrostegia	herbaceous
Barleria merxmuelleri	woody
Barleria papillosa	woody
Barosma betulina	not assigned
Barringtonia acutangula	woody
Barringtonia asiatica	woody
Barringtonia calyptrata	woody
Barringtonia edulis	woody
Barringtonia lanceolata	not assigned
Barringtonia longisepala	not assigned
Barringtonia macrostachya	woody
Barringtonia pauciflora	not assigned
Barringtonia pendula	woody
Barringtonia procera	not assigned
Barringtonia racemosa	woody
Barringtonia rubra	not assigned
Barringtonia samoensis	not assigned
Barringtonia scortechinii	not assigned
Barringtonia speciosa	not assigned
Barringtonia spicata	not assigned
Barteria fistulosa	woody
Barteria nigritiana	woody
Bartsia alpina	herbaceous
Bartsia chilensis	herbaceous
Bartsia laniflora	herbaceous
Bartsia trixago	herbaceous
Basananthe apetala	herbaceous
Basananthe baumii	herbaceous
Basananthe hanningtoniana	herbaceous
Basananthe heterophylla	herbaceous
Basananthe holmesii	herbaceous
Basananthe longifolia	herbaceous
Basananthe parvifolia	herbaceous
Basananthe pedata	herbaceous
Basananthe phaulantha	herbaceous
Basananthe pseudostipulata	herbaceous
Basananthe reticulata	herbaceous
Basananthe sandersonii	herbaceous
Basananthe triloba	herbaceous
Basella alba	herbaceous
Basella paniculata	herbaceous
Basella rubra	herbaceous
Basilicum polystachion	not assigned
Basilicum polystachyon	not assigned
Bassia arabica	not assigned
Bassia dasyphylla	herbaceous
Bassia eriantha	not assigned
Bassia eriophora	not assigned
Bassia hirsuta	herbaceous
Bassia hyssopifolia	herbaceous
Bassia laniflora	herbaceous
Bassia latifolia	woody
Bassia longifolia	woody
Bassia monticola	not assigned
Bassia muricata	not assigned
Bassia prostrata	not assigned
Bassia reuteriana	not assigned
Bassia scoparia	herbaceous
Bassia sedodes	not assigned
Bassia sedoides	not assigned
Bastardia bivalvis	not assigned
Bastardia viscosa	conflicting (herbaceous vs. woody)
Bastardiopsis densiflora	woody
Batesia floribunda	woody
Bathysa mendoncaei	woody
Bathysa meridionalis	woody
Bathysa peruviana	not assigned
Batis maritima	woody
Batocarpus amazonicus	woody
Batocarpus costaricensis	woody
Batocarpus orinocensis	woody
Batopedina linearifolia	woody
Batopedina tenuis	herbaceous
Batrachium aquatile	not assigned
Batrachium bungei	not assigned
Batrachium eradicatum	herbaceous
Batrachium pekinense	not assigned
Baudouinia fluggeiformis	woody
Baudouinia louveli	not assigned
Baudouinia louvelii	woody
Baudouinia rouxevillei	woody
Baudouinia sollyaeformis	not assigned
Bauera capitata	not assigned
Bauera microphylla	not assigned
Bauera rubioides	woody
Bauera sessiliflora	not assigned
Bauhinia acuminata	not assigned
Bauhinia alba	woody
Bauhinia anguina	woody
Bauhinia arborea	woody
Bauhinia aurantiaca	not assigned
Bauhinia brachycalyx	woody
Bauhinia candicans	woody
Bauhinia carronii	woody
Bauhinia championi	not assigned
Bauhinia championii	not assigned
Bauhinia coronata	not assigned
Bauhinia cunninghamii	woody
Bauhinia cupreonitens	not assigned
Bauhinia divaricata	woody
Bauhinia forficata	woody
Bauhinia galpini	woody
Bauhinia galpinii	woody
Bauhinia glabra	not assigned
Bauhinia glauca	not assigned
Bauhinia grandidieri	not assigned
Bauhinia griffithiana	not assigned
Bauhinia guianensis	not assigned
Bauhinia herrerae	woody
Bauhinia hildebrandtii	not assigned
Bauhinia holophylla	woody
Bauhinia hookeri	woody
Bauhinia humblotiana	not assigned
Bauhinia integrifolia	not assigned
Bauhinia jarensis	woody
Bauhinia kockiana	woody
Bauhinia leiopetala	not assigned
Bauhinia lisagroovy	not assigned
Bauhinia longifolia	woody
Bauhinia macrostachya	not assigned
Bauhinia malabarica	woody
Bauhinia megalandra	woody
Bauhinia microstachya	not assigned
Bauhinia monandra	woody
Bauhinia multinervia	woody
Bauhinia petersiana	woody
Bauhinia phoenicea	not assigned
Bauhinia platycalyx	not assigned
Bauhinia podopetala	woody
Bauhinia pottsii	woody
Bauhinia pulchella	woody
Bauhinia punctata	woody
Bauhinia purpurea	woody
Bauhinia racemosa	woody
Bauhinia reflexa	not assigned
Bauhinia reticulata	woody
Bauhinia retusa	woody
Bauhinia rufa	woody
Bauhinia rufescens	woody
Bauhinia rutilans	not assigned
Bauhinia scandens	woody
Bauhinia semibifida	woody
Bauhinia siqueiraei	not assigned
Bauhinia splendens	woody
Bauhinia syringifolia	woody
Bauhinia taitensis	not assigned
Bauhinia tarapotensis	woody
Bauhinia tenuiflora	not assigned
Bauhinia thonningii	woody
Bauhinia tomentosa	woody
Bauhinia triandra	woody
Bauhinia trichosepala	not assigned
Bauhinia ungulata	woody
Bauhinia vahlii	not assigned
Bauhinia variegata	woody
Bauhinia vestita	not assigned
Bauhinia violacea	not assigned
Bauhinia xerophyta	not assigned
Bauhinia yunnanensis	not assigned
Baumea acuta	herbaceous
Baumea arthrophylla	herbaceous
Baumea articulata	herbaceous
Baumea complanata	herbaceous
Baumea deplanchei	herbaceous
Baumea gunnii	herbaceous
Baumea juncea	herbaceous
Baumea laxa	herbaceous
Baumea muelleri	herbaceous
Baumea rubiginosa	herbaceous
Baumea tenax	herbaceous
Baumea teretifolia	herbaceous
Baumea tetragona	herbaceous
Baumiella imbricata	herbaceous
Beaucarnea gracilis	not assigned
Beaucarnea stricta	herbaceous
Beaufortia dampieri	not assigned
Beaufortia elegans	woody
Beaufortia empetrifolia	not assigned
Beaufortia eriocephala	not assigned
Beaufortia incana	not assigned
Beaufortia micrantha	not assigned
Beaufortia orbifolia	not assigned
Beaufortia schaueri	not assigned
Beaufortia sparsa	not assigned
Beaufortia sprengelioides	not assigned
Beaumontia grandiflora	not assigned
Bebbia juncea	woody
Becium obovatum	herbaceous
Beckeropsis uniseta	herbaceous
Beckmannia erucaeformis	herbaceous
Beckmannia eruciformis	herbaceous
Beckmannia syzigachne	herbaceous
Bedfordia arborescens	woody
Bedfordia linearis	not assigned
Bedfordia salicina	not assigned
Befaria aestuans	woody
Befaria glauca	woody
Befaria racemosa	woody
Begonia balmisiana	not assigned
Begonia brevibracteata	herbaceous
Begonia calderonii	not assigned
Begonia cucullata	not assigned
Begonia decandra	not assigned
Begonia ebolowensis	herbaceous
Begonia fimbristipula	herbaceous
Begonia glabra	herbaceous
Begonia gracilis	not assigned
Begonia humilis	not assigned
Begonia hypogaea	not assigned
Begonia isoptera	herbaceous
Begonia lancifolia	herbaceous
Begonia luxurians	not assigned
Begonia mazae	herbaceous
Begonia meyeri-johannis	not assigned
Begonia monophylla	not assigned
Begonia nyassensis	herbaceous
Begonia oxyloba	herbaceous
Begonia parviflora	not assigned
Begonia picta	herbaceous
Begonia princeae	herbaceous
Begonia pygmaea	herbaceous
Begonia rex	not assigned
Begonia robusta	herbaceous
Begonia rumpiensis	herbaceous
Begonia semperflorens	not assigned
Begonia sonderiana	herbaceous
Begonia sutherlandii	herbaceous
Begonia tuberhybrida	not assigned
Beguea apetala	not assigned
Behaimia cubensis	not assigned
Beilschmiedia assamica	woody
Beilschmiedia austin-smithii	not assigned
Beilschmiedia bancroftii	woody
Beilschmiedia berteroana	not assigned
Beilschmiedia borneensis	not assigned
Beilschmiedia brasiliensis	not assigned
Beilschmiedia calcitranthera	not assigned
Beilschmiedia collina	not assigned
Beilschmiedia congolana	not assigned
Beilschmiedia corbisieri	not assigned
Beilschmiedia costaricensis	not assigned
Beilschmiedia curviramea	woody
Beilschmiedia diversiflora	not assigned
Beilschmiedia elliptica	woody
Beilschmiedia emarginata	not assigned
Beilschmiedia erithrophloia	not assigned
Beilschmiedia erythrophloia	woody
Beilschmiedia foxiana	not assigned
Beilschmiedia gemmiflora	not assigned
Beilschmiedia gilbertii	woody
Beilschmiedia hutchinsoniana	not assigned
Beilschmiedia insignis	not assigned
Beilschmiedia intermedia	woody
Beilschmiedia javanica	not assigned
Beilschmiedia kunstleri	not assigned
Beilschmiedia kweo	not assigned
Beilschmiedia letouzeyi	not assigned
Beilschmiedia louisii	not assigned
Beilschmiedia lucidula	not assigned
Beilschmiedia lumutensis	not assigned
Beilschmiedia madang	not assigned
Beilschmiedia mannii	not assigned
Beilschmiedia membranifolia	not assigned
Beilschmiedia mexicana	woody
Beilschmiedia micrantha	not assigned
Beilschmiedia microphylla	not assigned
Beilschmiedia miersii	not assigned
Beilschmiedia nitida	not assigned
Beilschmiedia oblongifolia	not assigned
Beilschmiedia obovata	not assigned
Beilschmiedia obtusifolia	woody
Beilschmiedia oligandra	not assigned
Beilschmiedia opposita	not assigned
Beilschmiedia ovalis	woody
Beilschmiedia pahangensis	not assigned
Beilschmiedia pendula	woody
Beilschmiedia perakensis	not assigned
Beilschmiedia praecox	not assigned
Beilschmiedia purpurascens	woody
Beilschmiedia recurva	not assigned
Beilschmiedia rigida	not assigned
Beilschmiedia roxburghiana	not assigned
Beilschmiedia rugosa	not assigned
Beilschmiedia sary	not assigned
Beilschmiedia sericans	not assigned
Beilschmiedia tarairi	woody
Beilschmiedia taubertiana	not assigned
Beilschmiedia tawa	not assigned
Beilschmiedia tooram	woody
Beilschmiedia tungfangensis	woody
Beilschmiedia ugandensis	woody
Beilschmiedia velutina	not assigned
Beilschmiedia volckii	not assigned
Beilschmiedia zeylanica	not assigned
Bejaranoa semistriata	not assigned
Bejaria cubensis	not assigned
Bejaria dryanderae	not assigned
Bejaria glauca	not assigned
Bejaria resinosa	not assigned
Belamcanda chinensis	herbaceous
Bellardia trixago	not assigned
Bellendena montana	woody
Bellevalia desertorum	herbaceous
Bellevalia flexuosa	herbaceous
Bellevalia wilhelmsii	herbaceous
Bellida graminea	not assigned
Bellis annua	herbaceous
Bellis perennis	herbaceous
Bellis sylvestris	herbaceous
Bellucia grossularioides	woody
Bellucia imperialis	not assigned
Bellucia pentamera	woody
Belotia campbellii	not assigned
Belotia mexicana	not assigned
Belvisia spicata	(fern)
Bembicia axillaris	not assigned
Bembiciopsis uniflora	not assigned
Benincasa hispida	not assigned
Bennettiodendron leprosipes	not assigned
Benthamiella patagonica	not assigned
Bentleya diminuta	not assigned
Bentleya spinescens	not assigned
Benzoin aestivale	woody
Bequaertiodendron magalismontanum	woody
Bequaertiodendron natalense	woody
Berberidopsis corallina	not assigned
Berberis actinacantha	not assigned
Berberis aetnensis	not assigned
Berberis aggregata	woody
Berberis aitchisonii	not assigned
Berberis amurensis	woody
Berberis aquifolium	woody
Berberis aristata	not assigned
Berberis buxifolia	woody
Berberis circumserrata	woody
Berberis coriaria	not assigned
Berberis crataegina	woody
Berberis cretica	not assigned
Berberis cuatrecasasii	not assigned
Berberis cuneata	woody
Berberis darwinii	woody
Berberis diaphana	woody
Berberis dictyophylla	not assigned
Berberis empetrifolia	woody
Berberis fendleri	woody
Berberis fremontii	woody
Berberis gagnepaini	woody
Berberis glaucocarpa	woody
Berberis glomerata	not assigned
Berberis gracilis	not assigned
Berberis haematocarpa	woody
Berberis hartwegii	not assigned
Berberis heterophylla	woody
Berberis hieronymi	woody
Berberis hispanica	woody
Berberis holstii	woody
Berberis hookeri	not assigned
Berberis ilicifolia	woody
Berberis integerrima	woody
Berberis jobii	woody
Berberis julianae	woody
Berberis julianiae	not assigned
Berberis kasgarica	not assigned
Berberis koehneana	not assigned
Berberis koreana	woody
Berberis leontopetalum	woody
Berberis microphylla	not assigned
Berberis moranensis	not assigned
Berberis nervosa	woody
Berberis nevinii	woody
Berberis nummularia	not assigned
Berberis panlanensis	not assigned
Berberis pinifolia	woody
Berberis pinnata	woody
Berberis poiretii	woody
Berberis pruinosa	woody
Berberis prunifolia	woody
Berberis quinquefolia	woody
Berberis repens	woody
Berberis thunbergii	woody
Berberis trifoliata	woody
Berberis trifoliolata	woody
Berberis vallensis	not assigned
Berberis vulgaris	woody
Berberis wilsoniae	woody
Berchemia discolor	woody
Berchemia racemosa	not assigned
Berchemia scandens	woody
Berchemia yunnanensis	woody
Berchemia zeyheri	woody
Berchemiella berchemiaefolia	not assigned
Bergenia abendglut	herbaceous
Bergenia crassifolia	herbaceous
Bergeranthus scapiger	not assigned
Bergerocactus emoryi	not assigned
Bergeronia sericea	not assigned
Bergia ammannioides	herbaceous
Bergia barklyana	not assigned
Bergia decumbens	woody
Bergia glutinosa	woody
Bergia henshallii	not assigned
Bergia mossambicensis	herbaceous
Bergia polyantha	woody
Bergia prostrata	conflicting (herbaceous vs. woody)
Bergia suffruticosa	not assigned
Bergia trimera	not assigned
Berkheya angolensis	herbaceous
Berkheya armata	not assigned
Berkheya bipinnatifida	herbaceous
Berkheya canescens	not assigned
Berkheya carduodes	not assigned
Berkheya carlinopsis	conflicting (herbaceous vs. woody)
Berkheya decurrens	not assigned
Berkheya fruticosa	woody
Berkheya johnstoniana	herbaceous
Berkheya montana	not assigned
Berkheya polyacantha	herbaceous
Berkheya radula	herbaceous
Berkheya rehmannii	herbaceous
Berkheya rhapontica	not assigned
Berkheya robusta	herbaceous
Berkheya schinzii	not assigned
Berkheya setifera	herbaceous
Berkheya speciosa	herbaceous
Berkheya subulata	not assigned
Berkheya umbellata	not assigned
Berkheya zeyheri	herbaceous
Berlandiera lyrata	herbaceous
Berlinia acuminata	woody
Berlinia auriculata	woody
Berlinia bracteosa	woody
Berlinia confusa	woody
Berlinia grandiflora	woody
Berlinia niembaensis	woody
Berlinia occidentalis	woody
Berlinia viridicans	woody
Berlinianche aethiopica	woody
Bernardia dichotoma	woody
Bernardia mexicana	woody
Bernardia myricifolia	not assigned
Bernardia spongiosa	woody
Bernardinia fluminensis	not assigned
Bernoullia flammea	woody
Berria cordifolia	not assigned
Berrya ammonilla	woody
Berrya cordifolia	woody
Bersama abyssinica	woody
Bersama lucens	woody
Bersama swynnertoni	woody
Bersama volkensii	woody
Berteroa ascendens	not assigned
Berteroa incana	herbaceous
Berteroella maximowiczii	herbaceous
Bertholletia excelsa	woody
Bertiera batesii	woody
Bertiera guianensis	woody
Bertiera racemosa	woody
Bertiera zaluzania	woody
Bertya brownii	not assigned
Bertya cunninghamii	woody
Bertya findlayi	not assigned
Bertya gummifera	not assigned
Berula erecta	herbaceous
Berylsimpsonia fruticosus	not assigned
Berzelia abrotanoides	woody
Berzelia alopecurioides	not assigned
Berzelia cordifolia	not assigned
Berzelia intermedia	not assigned
Berzelia lanuginosa	woody
Besleria formosa	not assigned
Besleria lutea	woody
Besleria quadrangulata	not assigned
Beta corolliflora	not assigned
Beta diffusa	not assigned
Beta lomatogona	herbaceous
Beta longespicata	not assigned
Beta macrocarpa	not assigned
Beta macrorhiza	not assigned
Beta maritima	not assigned
Beta nana	not assigned
Beta patellaris	not assigned
Beta procumbens	not assigned
Beta trigyna	not assigned
Beta vulgaris	herbaceous
Betonica alopecuros	not assigned
Betonica macrantha	herbaceous
Betonica officinalis	herbaceous
Betula alba	woody
Betula albosinensis	woody
Betula albo-sinensis	woody
Betula alleghaniensis	woody
Betula alnoides	woody
Betula apoiensis	not assigned
Betula aschersoniana	not assigned
Betula aurata	woody
Betula austro-sinensis	woody
Betula celtiberica	not assigned
Betula chichibuensis	not assigned
Betula costata	woody
Betula cylindrostachya	woody
Betula dahurica	woody
Betula davurica	woody
Betula ermanii	woody
Betula exilis	woody
Betula fontinalis	woody
Betula fruticosa	woody
Betula glandulosa	woody
Betula globispica	not assigned
Betula gmelini	woody
Betula gmelinii	woody
Betula grossa	woody
Betula humilis	woody
Betula insignis	woody
Betula jacquemontii	not assigned
Betula lenta	woody
Betula litwinowii	woody
Betula luminifera	woody
Betula lutea	woody
Betula mandshurica	woody
Betula maximowicziana	woody
Betula medwediewi	not assigned
Betula microphylla	not assigned
Betula middendorffi	woody
Betula murithii	not assigned
Betula nana	woody
Betula neoalaskana	woody
Betula nigra	woody
Betula obscura	not assigned
Betula occidentalis	woody
Betula papyrifera	woody
Betula pendula	woody
Betula platyphylla	woody
Betula populifolia	woody
Betula pubescens	woody
Betula pumila	woody
Betula szechuanica	not assigned
Betula tortuosa	woody
Betula uber	woody
Betula utilis	woody
Betula verrucosa	woody
Beureria cumanensis	woody
Bewsia biflora	herbaceous
Beyeria lasiocarpa	not assigned
Beyeria leschenaultii	not assigned
Beyeria opaca	woody
Beyeria viscosa	woody
Bhesa paniculata	woody
Bhesa robusta	not assigned
Bhesa sinica	not assigned
Bhidea borii	herbaceous
Bhidea burnsiana	herbaceous
Bhidea fischeri	herbaceous
Bia alienata	not assigned
Biarum tenuifolium	not assigned
Bidens aequisquama	not assigned
Bidens amplectens	not assigned
Bidens andicola	herbaceous
Bidens aristosa	herbaceous
Bidens asymmetrica	not assigned
Bidens aurea	not assigned
Bidens bigelovii	not assigned
Bidens bipinnata	herbaceous
Bidens biternata	herbaceous
Bidens blakei	not assigned
Bidens brasiliensis	not assigned
Bidens cernua	herbaceous
Bidens cervicata	not assigned
Bidens comosa	herbaceous
Bidens conjuncta	not assigned
Bidens connata	herbaceous
Bidens coronata	herbaceous
Bidens cynapiifolia	not assigned
Bidens discoidea	herbaceous
Bidens forbesii	not assigned
Bidens frondosa	herbaceous
Bidens gentryi	herbaceous
Bidens hawaiensis	not assigned
Bidens hildebrandtii	not assigned
Bidens hillebrandiana	not assigned
Bidens humilis	not assigned
Bidens kilimandscharica	not assigned
Bidens laevis	herbaceous
Bidens menziesii	not assigned
Bidens mitis	herbaceous
Bidens pilosa	herbaceous
Bidens pilosus	not assigned
Bidens pinnatipartita	not assigned
Bidens radiata	herbaceous
Bidens sandvicensis	conflicting (herbaceous vs. woody)
Bidens sandwicensis	herbaceous
Bidens schimperi	not assigned
Bidens serrulata	not assigned
Bidens shrevei	woody
Bidens squarrosa	herbaceous
Bidens subalternans	herbaceous
Bidens torta	not assigned
Bidens trichosperma	not assigned
Bidens tripartita	herbaceous
Bidens triplinervia	herbaceous
Bidens vulgata	herbaceous
Bidens wiebkei	not assigned
Bienertia cycloptera	not assigned
Bifora americana	herbaceous
Bifora radians	herbaceous
Bifora testiculata	herbaceous
Bignonia binata	not assigned
Bignonia campanulata	not assigned
Bignonia capreolata	not assigned
Bignonia unguis-cati	not assigned
Bikinia durandii	woody
Bikinia letestui	not assigned
Bilderdykia convolvulus	not assigned
Billardiera cymosa	not assigned
Billardiera drummondii	not assigned
Billardiera lehmanniana	not assigned
Billardiera longiflora	not assigned
Billardiera pallidiflora	not assigned
Billardiera scandens	not assigned
Billardiera sericophora	not assigned
Billardiera versicolor	not assigned
Billbergia amoena	herbaceous
Billbergia brachysiphon	not assigned
Billbergia elegans	herbaceous
Billbergia mexicana	not assigned
Billbergia pyramidalis	herbaceous
Billia columbiana	woody
Billia hippocastanum	woody
Billia rosea	not assigned
Biophytum abyssinicum	herbaceous
Biophytum crassipes	herbaceous
Biophytum kassneri	herbaceous
Biophytum macrorrhizum	herbaceous
Biophytum nyikense	herbaceous
Biophytum petersianum	herbaceous
Biophytum richardsae	herbaceous
Biophytum sensitivum	herbaceous
Biophytum umbraculum	not assigned
Biota orientalis	woody
Bischofia cieba	woody
Bischofia javanica	woody
Bischofia trifoliata	woody
Biscutella apuana	not assigned
