Species	PFT
Buchholzia coriacea	not assigned (tree)
Buchnera	forb
Buchnera albiflora	forb
Buchnera americana	forb
Buchnera androsacea	forb
Buchnera arenicola	forb
Buchnera asperata	forb
Buchnera attenuata	forb
Buchnera bangweolensis	forb
Buchnera buchneroides	forb
Buchnera candida	forb
Buchnera capitata	forb
Buchnera chimanimaniensis	forb
Buchnera chisumpae	forb
Buchnera ciliolata	forb
Buchnera cryptocephala	forb
Buchnera dura	forb
Buchnera ebracteolata	forb
Buchnera foliosa	forb
Buchnera geminiflora	forb
Buchnera granitica	forb
Buchnera henriquesii	forb
Buchnera hispida	forb
Buchnera humpatensis	forb
Buchnera lastii	forb
Buchnera laxiflora	forb
Buchnera leptostachya	forb
Buchnera linearis	forb
Buchnera lippioides	forb
Buchnera longispicata	forb
Buchnera multicaulis	forb
Buchnera namuliensis	forb
Buchnera nervosa	forb
Buchnera nigricans	forb
Buchnera nitida	forb
Buchnera nuttii	forb
Buchnera peduncularis	forb
Buchnera prorepens	forb
Buchnera pulcherrima	forb
Buchnera pusilliflora	forb
Buchnera quadrifaria	forb
Buchnera ramosissima	forb
Buchnera randii	forb
Buchnera rungwensis	forb
Buchnera ruwenzoriensis	forb
Buchnera speciosa	forb
Buchnera splendens	forb
Buchnera strictissima	forb
Buchnera subglabra	forb
Buchnera trilobata	forb
Buchnera welwitschii	forb
Buchnera wildii	forb
Buchnerodendron lasiocalyx	not assigned (shrub)
Buchnerodendron speciosum	not assigned (tree)
Buchozia japonica	not assigned
Buckinghamia celsissima	not assigned ()
Bucquetia glutinosa	not assigned ()
Buddleja albiflora	not assigned ()
Buddleja alternifolia	not assigned ()
Buddleja americana	not assigned ()
Buddleja araucana	not assigned (shrub)
Buddleja asiatica	not assigned (shrub/tree)
Buddleja auriculata	not assigned ()
Buddleja brasiliensis	not assigned (shrub)
Buddleja cordata	not assigned ()
Buddleja curviflora	not assigned ()
Buddleja davidii	not assigned (shrub)
Buddleja dysophylla	not assigned ()
Buddleja globosa	not assigned (shrub)
Buddleja japonica	not assigned ()
Buddleja lindleyana	not assigned ()
Buddleja madagascariensis	not assigned ()
Buddleja nitida	not assigned ()
Buddleja parviflora	not assigned ()
Buddleja perfoliata	not assigned ()
Buddleja pulchella	not assigned ()
Buddleja saligna	not assigned ()
Buddleja salviifolia	not assigned ()
Buddleja sessiliflora	not assigned ()
Buddleja speciosissima	not assigned ()
Buddleja stachyoides	not assigned ()
Buddleja suaveolens	not assigned ()
Buddleja thyrsoides	not assigned ()
Buddleja utahensis	not assigned ()
Buddleja virgata	not assigned (herb/shrub)
Buergersiochloa bambusoides	grass
Buettneria	not assigned ()
Bufonia tenuifolia	not assigned ()
Buglossoides	forb
Buglossoides arvensis	forb
Buglossoides tenuiflora	not assigned ()
Bulbine abyssinica	forb
Bulbine angustifolia	forb
Bulbine annua	not assigned ()
Bulbine asphodeloides	forb
Bulbine bulbosa	forb
Bulbine capitata	forb
Bulbine caulescens	not assigned ()
Bulbine cepacea	not assigned ()
Bulbine crassa	not assigned ()
Bulbine favosa	forb
Bulbine fistulosa	forb
Bulbine glauca	not assigned ()
Bulbine lagopus	not assigned ()
Bulbine latifolia	forb
Bulbine narcissifolia	forb
Bulbine ophiophylla	not assigned ()
Bulbine praemorsa	not assigned ()
Bulbine sedifolia	not assigned ()
Bulbine semibarbata	forb
Bulbinella angustifolia	forb
Bulbinella cauda-felis	not assigned ()
Bulbinella eburniflora	not assigned ()
Bulbinella hookeri	forb
Bulbinella latifolia	not assigned ()
Bulbinella modesta	not assigned ()
Bulbinella triquetra	not assigned ()
Bulbophyllum argyropus	forb
Bulbophyllum ballii	forb
Bulbophyllum bavonis	forb
Bulbophyllum bracteatum	forb
Bulbophyllum cochleatum	forb
Bulbophyllum elisae	forb
Bulbophyllum elliotii	forb
Bulbophyllum encephalodes	forb
Bulbophyllum exiguum	forb
Bulbophyllum expallidum	forb
Bulbophyllum fuscum	forb
Bulbophyllum globuliforme	forb
Bulbophyllum gravidum	forb
Bulbophyllum humblotii	forb
Bulbophyllum injoloense	forb
Bulbophyllum intertextum	forb
Bulbophyllum josephi	forb
Bulbophyllum longiflorum	forb
Bulbophyllum lupulinum	forb
Bulbophyllum maximum	forb
Bulbophyllum minutissimum	forb
Bulbophyllum oreonastes	forb
Bulbophyllum pseudohydra	forb
Bulbophyllum rugosibulbum	forb
Bulbophyllum sandersonii	forb
Bulbophyllum scaberulum	forb
Bulbophyllum shepherdii	forb
Bulbophyllum stolzii	forb
Bulbophyllum tuberculatum	forb
Bulbophyllum unifoliatum	forb
Bulbophyllum weinthalii	forb
Bulbostylis abortiva	grass
Bulbostylis barbata	grass
Bulbostylis basalis	grass
Bulbostylis briziformis	grass
Bulbostylis capillaris	grass
Bulbostylis coleotricha	grass
Bulbostylis densa	grass
Bulbostylis filamentosa	grass
Bulbostylis funckii	grass
Bulbostylis hispidula	grass
Bulbostylis juncoides	grass
Bulbostylis major	grass
Bulbostylis parvinux	grass
Bulbostylis pusilla	grass
Bulbostylis sphaerocephala	grass
Bulbostylis turbinata	grass
Bullockia fadenii	not assigned ()
Bullockia mombazensis	not assigned (shrub/tree)
Bullockia setiflora	not assigned (shrub)
Bulnesia chilensis	not assigned (shrub)
Bulnesia retama	not assigned (shrub)
Bulnesia retamo	not assigned ()
Bunchosia	not assigned ()
Bunchosia argentea	not assigned (tree)
Bunchosia glandulifera	not assigned (tree)
Bunchosia glandulosa	not assigned (tree)
Bunchosia hookeriana	not assigned ()
Bunchosia lindeniana	not assigned (tree)
Bunchosia macrophylla	not assigned ()
Bunchosia montana	not assigned ()
Bunchosia nitida	not assigned
Bunchosia odorata	not assigned ()
Bunchosia palmeri	not assigned (tree)
Bunchosia polystachya	not assigned (tree)
Bunias erucago	forb
Bunias orientalis	forb
Bunium bulbocastanum	forb
Bunium elegans	forb
Bunium ferulaceum	not assigned ()
Bunium pachypodum	forb
Bunium paucifolium	forb
Buphthalmum salicifolium	forb
Bupleurum	forb
Bupleurum affine	forb
Bupleurum baldense	forb
Bupleurum bicaule	forb
Bupleurum brevicaule	forb
Bupleurum candollei	forb
Bupleurum chinense	not assigned ()
Bupleurum commutatum	forb
Bupleurum croceum	forb
Bupleurum exaltatum	forb
Bupleurum falcatum	forb
Bupleurum foliosum	not assigned (shrub)
Bupleurum fontanesii	forb
Bupleurum fruticescens	forb
Bupleurum fruticosum	not assigned (shrub)
Bupleurum gerardi	forb
Bupleurum heldreichii	forb
Bupleurum lancifolium	forb
Bupleurum longifolium	forb
Bupleurum marschallianum	forb
Bupleurum nodiflorum	forb
Bupleurum odontites	not assigned ()
Bupleurum praealtum	forb
Bupleurum ranunculoides	forb
Bupleurum rigidum	forb
Bupleurum rotundifolium	forb
Bupleurum salicifolium	not assigned (herb/shrub)
Bupleurum scorzonerifolium	forb
Bupleurum semicompositum	forb
Bupleurum sibiricum	forb
Bupleurum smithii	forb
Bupleurum stellatum	not assigned ()
Bupleurum subovatum	forb
Bupleurum tenuissimum	not assigned (shrub)
Bupleurum veronense	not assigned ()
Burasaia apetela	not assigned ()
Burasaia madagascariensis	not assigned ()
Burchardia bairdiae	forb
Burchardia multiflora	forb
Burchardia umbellata	forb
Burchellia bubalina	not assigned (shrub/tree)
Burckella fijiensis	not assigned ()
Burckella macropoda	not assigned ()
Burckella obovata	not assigned ()
Burckella polymera	not assigned ()
Burckella poolei	not assigned ()
Burdachia duckei	not assigned (tree)
Burdachia prismatocarpa	not assigned (tree)
Burdachia sphaerocarpa	not assigned ()
Burkea africana	not assigned (tree)
Burkillanthus malaccensis	not assigned ()
Burnettia cuneata	forb
Burretiodendron hsienmu	not assigned (tree)
Burretiokentia vieillardii	not assigned ()
Bursaria incana	not assigned ()
Bursaria occidentalis	not assigned ()
Bursaria spinosa	not assigned (shrub)
Bursera biflora	not assigned ()
Bursera bipinnata	not assigned ()
Bursera confusa	not assigned (shrub/tree)
Bursera copallifera	not assigned (shrub/tree)
Bursera diversifolia	not assigned ()
Bursera glabrifolia	not assigned ()
Bursera grandifolia	not assigned (tree)
Bursera graveolens	not assigned (tree)
Bursera heteresthes	not assigned (tree)
Bursera hindsiana	not assigned (shrub)
Bursera instabilis	not assigned (tree)
Bursera leptophloeos	not assigned (shrub/tree)
Bursera longipes	not assigned ()
Bursera microphylla	not assigned (tree)
Bursera morelensis	not assigned (tree)
Bursera odorata	not assigned (tree)
Bursera penicillata	not assigned ()
Bursera simaruba	not assigned (tree)
Bursera submoniliformis	not assigned ()
Bursera tomentosa	not assigned ()
Burseraceae	not assigned (tree)
Burttia prunoides	not assigned (shrub/tree)
Bussea massaiensis	not assigned (shrub/tree)
Bussea occidentalis	not assigned (tree)
Bussea sakalava	not assigned (shrub/tree)
Butea monosperma	not assigned (tree)
Butia archeri	not assigned (tree)
Butia capitata	not assigned
Butia yatay	not assigned (tree)
Butomus umbellatus	forb
Buttonia natalensis	not assigned (shrub)
Buxus acutata	not assigned ()
Buxus balearica	not assigned ()
Buxus citrifolia	not assigned ()
Buxus glomerata	not assigned ()
Buxus humbertii	not assigned (shrub)
Buxus macowanii	not assigned
Buxus macrocarpa	not assigned (tree)
Buxus madagascarica	not assigned ()
Buxus microphylla	not assigned
Buxus moratii	not assigned ()
Buxus rolfei	not assigned (shrub/tree)
Buxus sempervirens	not assigned (shrub)
Buxus wallichiana	not assigned (tree)
Byblis gigantea	not assigned ()
Byrsonima	not assigned ()
Byrsonima aerugo	not assigned (tree)
Byrsonima arthropoda	not assigned (tree)
Byrsonima chrysophylla	not assigned (tree)
Byrsonima coccolobifolia	not assigned (tree)
Byrsonima crassifolia	not assigned (tree)
Byrsonima crispa	not assigned (tree)
Byrsonima densa	not assigned (tree)
Byrsonima incarnata	not assigned (tree)
Byrsonima intermedia	not assigned (tree)
Byrsonima japurensis	not assigned (tree)
Byrsonima laevigata	not assigned (tree)
Byrsonima lancifolia	not assigned (tree)
Byrsonima laxiflora	not assigned (tree)
Byrsonima ligustrifolia	not assigned (tree)
Byrsonima lucida	not assigned (tree)
Byrsonima pachyphylla	not assigned (tree)
Byrsonima poeppigiana	not assigned (tree)
Byrsonima putumayensis	not assigned (tree)
Byrsonima sericea	not assigned (tree)
Byrsonima spicata	not assigned (tree)
Byrsonima stipulacea	not assigned (tree)
Byrsonima verbascifolia	not assigned (tree)
Byrsonima wadsworthii	not assigned (tree)
Byttnerea grandiflora	not assigned ()
Byttneria aculeata	not assigned ()
Byttneria aspera	not assigned ()
Byttneria asterotricha	not assigned ()
Byttneria australis	not assigned ()
Byttneria baronii	not assigned ()
Byttneria catalpifolia	not assigned ()
Byttneria curtisii	not assigned ()
Byttneria grandifolia	not assigned ()
Byttneria oligantha	not assigned ()
Byttneria pescapraeifolia	not assigned ()
Byttneria scabra	not assigned ()
Byttneria voulily	not assigned ()
Caamembeca spectabilis	not assigned ()
Cabobanthus bullulatus	forb
Cabobanthus polysphaerus	forb
Cabomba caroliniana	forb
Cabralea canjerana	not assigned
Cacalia	forb
Cacalia tuberosa	forb
Cactaceae	not assigned ()
Cadaba aphylla	not assigned (shrub)
Cadaba farinosa	not assigned ()
Cadaba glandulosa	not assigned ()
Cadaba kirkii	not assigned (shrub)
Cadaba natalensis	not assigned (shrub)
Cadaba rotundifolia	not assigned ()
Cadaba termitaria	not assigned (shrub)
Cadaba virgata	not assigned ()
Cadellia pentastylis	not assigned (tree)
Cadia ellisiana	not assigned (legume?)
Cadia purpurea	not assigned (legume?)
Caelospermum paniculatum	not assigned ()
Caesalpinia coriaria	not assigned (tree)
Caesalpinia major	not assigned (shrub)
Caesalpinia pulcherrima	not assigned (shrub)
Caesarea	not assigned (tree)
Caesia alpina	not assigned ()
Caesia calliantha	forb
Caesia parviflora	forb
Caiophora chuquitensis	not assigned ()
Caiophora coronata	not assigned ()
Caiophora hibiscifolia	not assigned ()
Caiophora lateritia	not assigned ()
Cajanus acutifolius	not assigned (shrub)
Cajanus cajan	not assigned (shrub)
Cajanus lanceolatus	not assigned (legume?)
Cajanus scarabaeoides	not assigned (legume?)
Cakile arabica	not assigned ()
Cakile edentula	forb
Cakile maritima	forb
Caladenia alata	forb
Caladenia aurantiaca	forb
Caladenia caerulea	forb
Caladenia carnea	forb
Caladenia catenata	forb
Caladenia clarkiae	forb
Caladenia concolor	forb
Caladenia cucullata	forb
Caladenia dimorpha	forb
Caladenia filamentosa	forb
Caladenia gracilis	forb
Caladenia iridescens	forb
Caladenia major	forb
Caladenia minorata	forb
Caladenia rosella	forb
Caladenia tentaculata	forb
Caladenia tessellata	forb
Caladium bicolor	not assigned ()
Calamagrostis	grass
Calamagrostis abnormis	grass
Calamagrostis acuminata	grass
Calamagrostis acutiflora	grass
Calamagrostis affinis	grass
Calamagrostis ajanensis	grass
Calamagrostis alajica	grass
Calamagrostis altaica	grass
Calamagrostis angustifolia	grass
Calamagrostis anthoxanthoides	grass
Calamagrostis appressa	grass
Calamagrostis archboldii	grass
Calamagrostis arenaria	grass
Calamagrostis arundinacea	grass
Calamagrostis aspleyensis	grass
Calamagrostis atjehensis	grass
Calamagrostis australis	grass
Calamagrostis austrodensa	grass
Calamagrostis austroscaberula	grass
Calamagrostis autumnalis	grass
Calamagrostis avenoides	grass
Calamagrostis balkharica	grass
Calamagrostis baltica	grass
Calamagrostis benthamiana	grass
Calamagrostis bihariensis	grass
Calamagrostis bogotensis	grass
Calamagrostis bolanderi	grass
Calamagrostis borii	grass
Calamagrostis brassii	grass
Calamagrostis breviligulata	grass
Calamagrostis breweri	grass
Calamagrostis cainii	grass
Calamagrostis canadensis	grass
Calamagrostis canescens	grass
Calamagrostis carchiensis	grass
Calamagrostis carinata	grass
Calamagrostis caucasica	grass
Calamagrostis chalybaea	grass
Calamagrostis chaseae	grass
Calamagrostis cleefii	grass
Calamagrostis coarctata	grass
Calamagrostis conferta	grass
Calamagrostis crassiuscula	grass
Calamagrostis curtoides	grass
Calamagrostis debilis	grass
Calamagrostis decipiens	grass
Calamagrostis decora	grass
Calamagrostis deschampsiiformis	grass
Calamagrostis deschampsioides	grass
Calamagrostis diemii	grass
Calamagrostis diffusa	grass
Calamagrostis dmitrievae	grass
Calamagrostis drummondii	grass
Calamagrostis echidnii	grass
Calamagrostis effusiflora	grass
Calamagrostis elatior	grass
Calamagrostis emodensis	grass
Calamagrostis epigeios	grass
Calamagrostis epigejos	grass
Calamagrostis expansa	grass
Calamagrostis extremiorientalis	grass
Calamagrostis fauriei	grass
Calamagrostis filifolia	grass
Calamagrostis filipes	grass
Calamagrostis flaccida	grass
Calamagrostis foliosa	grass
Calamagrostis frigida	grass
Calamagrostis fulgida	grass
Calamagrostis gigas	grass
Calamagrostis gracilescens	grass
Calamagrostis griffithii	grass
Calamagrostis guamanensis	grass
Calamagrostis guatemalensis	grass
Calamagrostis gunniana	grass
Calamagrostis hackelii	grass
Calamagrostis hakonensis	grass
Calamagrostis hartmaniana	grass
Calamagrostis hedbergii	grass
Calamagrostis hillebrandii	grass
Calamagrostis himalaica	grass
Calamagrostis holciformis	grass
Calamagrostis holmii	grass
Calamagrostis howellii	grass
Calamagrostis imbricata	grass
Calamagrostis inaequalis	grass
Calamagrostis inexpansa	grass
Calamagrostis insperata	grass
Calamagrostis kalarica	grass
Calamagrostis koelerioides	grass
Calamagrostis kokonorica	grass
Calamagrostis korotkyi	grass
Calamagrostis korshinskyi	grass
Calamagrostis lahulensis	grass
Calamagrostis lapponica	grass
Calamagrostis lawrencei	grass
Calamagrostis leonardii	grass
Calamagrostis ligulata	grass
Calamagrostis linifolia	grass
Calamagrostis llanganatensis	grass
Calamagrostis longiseta	grass
Calamagrostis macilenta	grass
Calamagrostis macrolepis	grass
Calamagrostis matsumurae	grass
Calamagrostis mckiei	grass
Calamagrostis meridensis	grass
Calamagrostis mesanthera	grass
Calamagrostis microseta	grass
Calamagrostis minarovii	grass
Calamagrostis minor	grass
Calamagrostis montanensis	grass
Calamagrostis moupinensis	grass
Calamagrostis muiriana	grass
Calamagrostis munroi	grass
Calamagrostis nagarum	grass
Calamagrostis nardifolia	grass
Calamagrostis neocontracta	grass
Calamagrostis nivicola	grass
Calamagrostis nudiflora	grass
Calamagrostis nutkaensis	grass
Calamagrostis nyingchiensis	grass
Calamagrostis obtusata	grass
Calamagrostis ophitidis	grass
Calamagrostis oreophila	grass
Calamagrostis parsana	grass
Calamagrostis parviseta	grass
Calamagrostis pavlovii	grass
Calamagrostis perplexa	grass
Calamagrostis pickeringii	grass
Calamagrostis pinetorum	grass
Calamagrostis pisinna	grass
Calamagrostis porteri	grass
Calamagrostis przevalskyi	grass
Calamagrostis pseudophragmites	grass
Calamagrostis pungens	grass
Calamagrostis purpurascens	grass
Calamagrostis purpurea	grass
Calamagrostis pusilla	grass
Calamagrostis quadriseta	grass
Calamagrostis ramonae	grass
Calamagrostis reflexa	grass
Calamagrostis rigens	grass
Calamagrostis rodwayi	grass
Calamagrostis rubescens	grass
Calamagrostis rupestris	grass
Calamagrostis sachalinensis	grass
Calamagrostis sajanensis	grass
Calamagrostis salina	grass
Calamagrostis scabrescens	grass
Calamagrostis scabriflora	grass
Calamagrostis sclerophylla	grass
Calamagrostis scopulorum	grass
Calamagrostis scotica	grass
Calamagrostis sesquiflora	grass
Calamagrostis sichuanensis	grass
Calamagrostis sinelatior	grass
Calamagrostis spruceana	grass
Calamagrostis srilankensis	grass
Calamagrostis staintonii	grass
Calamagrostis stenophylla	grass
Calamagrostis stolizkai	grass
Calamagrostis stricta	grass
Calamagrostis subacrochaeta	grass
Calamagrostis subchalybaea	grass
Calamagrostis suka	grass
Calamagrostis tashiroi	grass
Calamagrostis teberdensis	grass
Calamagrostis tianschanica	grass
Calamagrostis tibetica	grass
Calamagrostis tripilifera	grass
Calamagrostis turkestanica	grass
Calamagrostis tzvelevii	grass
Calamagrostis uralensis	grass
Calamagrostis varia	grass
Calamagrostis veresczaginii	grass
Calamagrostis villosa	grass
Calamagrostis yanyuanensis	grass
Calamagrostis youngii	grass
Calamagrostis zangxiensis	grass
Calamintha	not assigned ()
Calamovilfa brevipilis	grass
Calamovilfa longifolia	grass
Calamus	not assigned ()
Calamus asperrimus	not assigned ()
Calamus ater	not assigned ()
Calamus australis	not assigned (tree)
Calamus brandisii	not assigned ()
Calamus caryotoides	not assigned (tree)
Calamus castaneus	not assigned (tree)
Calamus ciliaris	not assigned (tree)
Calamus concolor	not assigned ()
Calamus conirostris	not assigned ()
Calamus crinitus	not assigned ()
Calamus cristatus	not assigned ()
Calamus deerratus	not assigned ()
Calamus erectus	not assigned (tree)
Calamus exilis	not assigned ()
Calamus formicarius	not assigned ()
Calamus gamblei	not assigned ()
Calamus gonospermus	not assigned ()
Calamus hallierianus	not assigned ()
Calamus heteroideus	not assigned (tree)
Calamus hookerianus	not assigned ()
Calamus inermis	not assigned
Calamus javensis	not assigned ()
Calamus kunstleri	not assigned ()
Calamus lacciferus	not assigned ()
Calamus lakshmanae	not assigned ()
Calamus longipes	not assigned (tree)
Calamus maculatus	not assigned ()
Calamus manan	not assigned ()
Calamus marginatus	not assigned ()
Calamus melanochaetes	not assigned
Calamus metzianus	not assigned ()
Calamus moti	not assigned (tree)
Calamus muelleri	not assigned ()
Calamus muricatus	not assigned ()
Calamus myriacanthus	not assigned ()
Calamus nagbettai	not assigned ()
Calamus oblongus	not assigned ()
Calamus optimus	not assigned ()
Calamus oxleyanus	not assigned ()
Calamus oxycoccus	not assigned ()
Calamus paspalanthus	not assigned ()
Calamus perakensis	not assigned (tree)
Calamus periacanthus	not assigned ()
Calamus pogonacanthus	not assigned ()
Calamus praetermissus	not assigned ()
Calamus pseudotenuis	not assigned ()
Calamus radicalis	not assigned ()
Calamus rhabdocladus	not assigned (tree)
Calamus rotang	not assigned ()
Calamus sarawakensis	not assigned (tree)
Calamus scipionum	not assigned ()
Calamus sparsiflorus	not assigned ()
Calamus stoloniferus	not assigned ()
Calamus subangulatus	not assigned ()
Calamus tenuis	not assigned ()
Calamus thwaitesii	not assigned ()
Calamus thysanolepis	not assigned ()
Calamus travancoricus	not assigned ()
Calamus vattayila	not assigned ()
Calamus verticillaris	not assigned ()
Calamus walkeri	not assigned (tree)
Calamus zollingeri	not assigned ()
Calamus zonatus	not assigned ()
Calandrinia acaulis	forb
Calandrinia ciliata	forb
Calanthe africana	forb
Calanthe discolor	forb
Calanthe sylvatica	forb
Calanthe tankervilleae	forb
Calanthe triplicata	forb
Calantica cerasifolia	not assigned ()
Calathea inocephala	forb
Calathea lutea	forb
Calatola costaricensis	not assigned
Calatola laevigata	not assigned (tree)
Calatola microcarpa	not assigned (tree)
Calatola uxpanapensis	not assigned ()
Calceolaria andina	forb
Calceolaria arachnoidea	forb
Calceolaria arachnoides	not assigned ()
Calceolaria ascendens	forb
Calceolaria auriculata	not assigned ()
Calceolaria biflora	forb
Calceolaria campanae	not assigned ()
Calceolaria cana	not assigned ()
Calceolaria cavanillesii	not assigned ()
Calceolaria collina	not assigned ()
Calceolaria corymbosa	not assigned ()
Calceolaria densifolia	not assigned ()
Calceolaria dentata	not assigned ()
Calceolaria filicaulis	not assigned ()
Calceolaria flavovirens	not assigned ()
Calceolaria fothergillii	not assigned ()
Calceolaria glandulosa	not assigned ()
Calceolaria herbeohybrida	forb
Calceolaria hybrida	not assigned (herb/shrub)
Calceolaria hypericina	not assigned ()
Calceolaria inamoena	not assigned ()
Calceolaria integrifolia	not assigned ()
Calceolaria lanigera	not assigned ()
Calceolaria latifolia	not assigned ()
Calceolaria lepida	not assigned ()
Calceolaria meyeniana	not assigned ()
Calceolaria morisii	not assigned ()
Calceolaria pallida	not assigned ()
Calceolaria paposana	not assigned ()
Calceolaria petioalaris	not assigned ()
Calceolaria picta	not assigned ()
Calceolaria pinifolia	not assigned ()
Calceolaria polifolia	not assigned ()
Calceolaria polyrhiza	forb
Calceolaria psammophila	forb
Calceolaria purpurea	not assigned ()
Calceolaria rinconada	not assigned ()
Calceolaria segethii	not assigned ()
Calceolaria thyrsiflora	not assigned ()
Calceolaria tripartita	not assigned ()
Calceolaria valdiviana	not assigned ()
Calceolaria viscosissima	not assigned ()
Calceolaria volckmannii	forb
Calcicola parvifolia	not assigned ()
Caldcluvia	not assigned (shrub/tree)
Caldcluvia paniculata	not assigned (tree)
Caldesia parnassifolia	forb
Calea lucidivenia	forb
Calea pinnatifida	not assigned ()
Calea prunifolia	not assigned (shrub)
Calea serrata	forb
Calea ternifolia	forb
Calea uniflora	not assigned (shrub)
Calea urticifolia	forb
Caleana major	forb
Calendula arvensis	forb
Calendula maroccana	not assigned ()
Calendula officinalis	forb
Calendula stellata	not assigned ()
Calendula suffruticosa	not assigned ()
Calepina irregularis	forb
Calibrachoa calycina	forb
Calibrachoa parviflora	not assigned ()
Calicotome infesta	not assigned (legume?)
Calicotome intermedia	not assigned (legume?)
Calicotome rigida	not assigned (legume?)
Calicotome spinosa	not assigned (shrub)
Calicotome villosa	not assigned
Calla palustris	forb
Callaeum macropterum	not assigned ()
Callaeum psilophyllum	not assigned ()
Callerya dielsiana	not assigned (legume?)
Callerya oosperma	not assigned (legume?)
Calliandra	not assigned
Calliandra angustifolia	not assigned (shrub)
Calliandra biflora	not assigned (legume?)
Calliandra bijuga	not assigned (legume?)
Calliandra chilensis	not assigned (legume?)
Calliandra conferta	not assigned (shrub)
Calliandra dysantha	not assigned (tree)
Calliandra eriophylla	not assigned (shrub)
Calliandra foliolosa	not assigned (legume?)
Calliandra guildingii	not assigned (tree)
Calliandra haematocephala	not assigned (shrub)
Calliandra houstoniana	not assigned
Calliandra laxa	not assigned (legume?)
Calliandra paniculata	not assigned (tree)
Calliandra surinamensis	not assigned (tree)
Calliandra trinervia	not assigned
Calliandra tweediei	not assigned (legume?)
Calliandra tweedii	not assigned (shrub)
Calliandropsis nervosa	not assigned (legume?)
Callianthe sylvatica	not assigned (shrub)
Callicarpa americana	not assigned (shrub)
Callicarpa arborea	not assigned ()
Callicarpa bodinieri	not assigned ()
Callicarpa brevipes	not assigned ()
Callicarpa dichotoma	not assigned ()
Callicarpa ferruginea	not assigned (shrub)
Callicarpa furfuracea	not assigned ()
Callicarpa havilandii	not assigned ()
Callicarpa japonica	not assigned ()
Callicarpa kochiana	not assigned ()
Callicarpa longifolia	not assigned ()
Callicarpa macrophylla	not assigned ()
Callicarpa mollis	not assigned ()
Callicarpa pedunculata	not assigned ()
Callicarpa pentandra	not assigned (tree)
Callicarpa tomentosa	not assigned ()
Callicephalus nitens	not assigned ()
Callichilia barteri	not assigned ()
Callichilia subsessilis	not assigned ()
Callichlamys latifolia	not assigned ()
Callicoma serratifolia	not assigned (tree)
Calligonum aphyllum	not assigned (shrub)
Calligonum arborescens	not assigned ()
Calligonum caput-medusae	not assigned ()
Calligonum comosum	not assigned (shrub)
Calligonum ebinuricum	not assigned (shrub)
Calligonum junceum	not assigned (shrub)
Calligonum leucocladum	not assigned
Calligonum litwinowii	forb
Calligonum mongolicum	not assigned (shrub)
Calligonum polygonoides	not assigned (shrub)
Calligonum turbineum	not assigned (shrub)
Callilepis laureola	not assigned ()
Callipeltis cucullaria	forb
Callipeltis cucullaris	not assigned
Callirhoe alcaeoides	not assigned ()
Callirhoe involucrata	forb
Callirhoe pedata	not assigned ()
Calliscirpus criniger	grass
Callistachys lanceolata	not assigned (legume?)
Callistemon acuminatus	not assigned ()
Callistemon brachyandrus	not assigned (shrub)
Callistemon citrinus	not assigned (shrub)
Callistemon comboynensis	not assigned (shrub)
Callistemon flavovirens	not assigned (shrub)
Callistemon formosus	not assigned (shrub/tree)
Callistemon kenmorrisonii	not assigned (shrub)
Callistemon lanceolatus	not assigned
Callistemon linearifolius	not assigned (shrub)
Callistemon linearis	not assigned (shrub)
Callistemon montanus	not assigned (shrub)
Callistemon nyallingensis	not assigned (shrub)
Callistemon pachyphyllus	not assigned (shrub)
Callistemon paludosus	not assigned (shrub)
Callistemon phoeniceus	not assigned (shrub)
Callistemon pinifolius	not assigned (shrub)
Callistemon pityoides	not assigned (shrub)
Callistemon polandii	not assigned (shrub)
Callistemon pungens	not assigned (shrub)
Callistemon rigidus	not assigned (shrub)
Callistemon rugulosus	not assigned (shrub)
Callistemon salignus	not assigned (shrub)
Callistemon subulatus	not assigned (shrub)
Callistemon teretifolius	not assigned (shrub)
Callistemon viminalis	not assigned (shrub)
Callistemon viridiflorus	not assigned (shrub)
Callistephus chinensis	forb
Callisthene fasciculata	not assigned (tree)
Callisthene major	not assigned (tree)
Callithronum	not assigned ()
Callitriche	forb
Callitriche antarctica	forb
Callitriche autumnalis	forb
Callitriche brutia	forb
Callitriche cophocarpa	forb
Callitriche hamulata	forb
Callitriche hermaphroditica	forb
Callitriche heterophylla	forb
Callitriche obtusangula	forb
Callitriche palustris	forb
Callitriche platycarpa	forb
Callitriche stagnalis	forb
Callitriche truncata	forb
Callitris canescens	not assigned (tree)
Callitris columellaris	not assigned (tree)
Callitris drummondii	not assigned (tree)
Callitris endlicheri	not assigned (tree)
Callitris hugelii	not assigned (shrub)
Callitris macleayana	not assigned (tree)
Callitris monticola	not assigned (tree)
Callitris muelleri	not assigned (tree)
Callitris oblonga	not assigned (tree)
Callitris preissii	not assigned (tree)
Callitris rhomboidea	not assigned (tree)
Callitris roei	not assigned (tree)
Callitris tuberculata	not assigned (tree)
Callitris verrucosa	not assigned (tree)
Calluna vulgaris	not assigned (shrub)
Calobota angustifolia	not assigned (legume?)
Calobota linearifolia	not assigned (shrub)
Calobota psiloloba	not assigned (legume?)
Calobota saharae	not assigned (legume?)
Calobota sericea	not assigned (legume?)
Calocedrus decurrens	not assigned (tree)
Calocedrus formosana	not assigned (tree)
Calocedrus macrolepis	not assigned (tree)
Calocephalus citreus	not assigned ()
Calocephalus francisii	not assigned ()
