Species	PFT
Ionopsidium abulense	not assigned ()
Trichoscypha abut	not assigned ()
Sida abutifolia	not assigned ()
Ficus abutilifolia	not assigned (tree)
Abutilon abutiloides	not assigned (herb/shrub)
Sphaeralcea abutiloides	not assigned ()
Heteromorpha abyssinica	forb
Schefflera abyssinica	not assigned (tree)
Dregea abyssinica	not assigned ()
Bulbine abyssinica	forb
Guizotia abyssinica	forb
Kleinia abyssinica	not assigned ()
Cordia abyssinica	not assigned (tree)
Crambe abyssinica	forb
Wahlenbergia abyssinica	forb
Uebelinia abyssinica	not assigned ()
Lagenaria abyssinica	not assigned ()
Dioscorea abyssinica	not assigned ()
Diospyros abyssinica	not assigned (tree)
Clutia abyssinica	not assigned (shrub)
Cluytia abyssinica	not assigned ()
Euphorbia abyssinica	not assigned ()
Acacia abyssinica	not assigned (tree)
Aeschynomene abyssinica	not assigned (herb/shrub)
Antopetitia abyssinica	legume
Colutea abyssinica	not assigned (legume?)
Entada abyssinica	not assigned (tree)
Erythrina abyssinica	not assigned (tree)
Dovyalis abyssinica	not assigned (tree)
Swertia abyssinica	forb
Hydnora abyssinica	forb
Cometes abyssinica	not assigned ()
Aristea abyssinica	forb
Turraea abyssinica	not assigned ()
Bersama abyssinica	not assigned (tree)
Stephania abyssinica	not assigned ()
Ludwigia abyssinica	forb
Peperomia abyssinica	forb
Avena abyssinica	grass
Digitaria abyssinica	grass
Eragrostis abyssinica	grass
Exotheca abyssinica	grass
Festuca abyssinica	grass
Oxytenanthera abyssinica	grass
Caylusea abyssinica	forb
Ziziphus abyssinica	not assigned (shrub/tree)
Hagenia abyssinica	not assigned (tree)
Pavetta abyssinica	not assigned ()
Halleria abyssinica	not assigned ()
Hedbergia abyssinica	not assigned (herb/shrub)
Veronica abyssinica	forb
Selaginella abyssinica	not assigned (fern)
Harrisonia abyssinica	not assigned (shrub/tree)
Viola abyssinica	forb
Ampelocissus abyssinica	not assigned ()
Delosperma abyssinicum	forb
Heracleum abyssinicum	forb
Pentarrhinum abyssinicum	not assigned ()
Erucastrum abyssinicum	not assigned ()
Jasminum abyssinicum	not assigned ()
Biophytum abyssinicum	forb
Andropogon abyssinicus	grass
Crinipes abyssinicus	grass
Rumex abyssinicus	forb
Allophylus abyssinicus	not assigned (tree)
Loranthus acaciae	not assigned ()
Eucalyptus acaciaeformis	not assigned (tree)
Macrolobium acaciifolium	not assigned (tree)
Eucalyptus acaciiformis	not assigned (tree)
Melaleuca acacioides	not assigned (shrub/tree)
Cotula acaenoides	forb
Liquidambar acalycina	not assigned ()
Eragrostis acamptoclada	grass
Festuca acamptophylla	grass
Ambrosia acanthicarpa	forb
Carlina acanthifolia	not assigned ()
Grevillea acanthifolia	not assigned ()
Onopordum acanthium	forb
Tetragonia acanthocarpa	not assigned (shrub)
Bactris acanthocarpa	not assigned (tree)
Opuntia acanthocarpa	not assigned ()
Atriplex acanthocarpa	not assigned (shrub)
Ipomoea acanthocarpa	not assigned ()
Glycyrrhiza acanthocarpa	not assigned (legume?)
Bactris acanthocarpoides	not assigned (tree)
Sterigmostemum acanthocarpum	not assigned ()
Euonymus acanthocarpus	not assigned ()
Gonocarpus acanthocarpus	not assigned ()
Amaranthus acanthochiton	not assigned ()
Acacia acanthoclada	not assigned (shrub)
Genista acanthoclada	not assigned (shrub)
Desmodium acanthocladum	not assigned (legume?)
Trithrinax acanthocoma	not assigned ()
Launaea acanthodes	not assigned ()
Ferocactus acanthodes	not assigned ()
Rubus acanthodes	not assigned ()
Solanum acanthodes	not assigned ()
Barleria acanthoides	forb
Carduus acanthoides	forb
Mimosa acantholoba	not assigned (legume?)
Chondrilla acanthophylla	not assigned ()
Acacia acanthophylla	not assigned (legume?)
Festuca acanthophylla	grass
Zanthoxylum acanthopodium	not assigned ()
Euphorbia acanthothamnos	not assigned (shrub)
Lysiloma acapulcense	not assigned (legume?)
Wedelia acapulcensis	not assigned ()
Pterocarpus acapulcensis	not assigned (legume?)
Banisteriopsis acapulcensis	not assigned ()
Eugenia acapulcensis	not assigned (tree)
Coccoloba acapulcensis	not assigned (shrub/tree)
Trichilia acariaeantha	not assigned (shrub/tree)
Cirsium acarna	forb
Picnomon acarna	not assigned ()
Acacia acatlensis	not assigned (shrub/tree)
Havardia acatlensis	not assigned (legume?)
Sphinga acatlensis	not assigned (legume?)
Chamaesciadium acaule	forb
Cirsium acaule	forb
Isostigma acaule	not assigned ()
Ionopsidium acaule	not assigned ()
Geranium acaule	not assigned ()
Malvastrum acaule	forb
Cypripedium acaule	forb
Solanum acaule	not assigned ()
Cymopterus acaulis	forb
Huanaca acaulis	forb
Laretia acaulis	forb
Geonoma acaulis	not assigned (tree)
Anisocoma acaulis	forb
Arctotis acaulis	forb
Carlina acaulis	forb
Geigeria acaulis	not assigned ()
Hesperevax acaulis	forb
Sonchus acaulis	not assigned ()
Stenotus acaulis	not assigned ()
Silene acaulis	forb
Faroa acaulis	forb
Gentiana acaulis	forb
Swertia acaulis	forb
Alcea acaulis	forb
Haplophyllophora acaulis	forb
Oenothera acaulis	not assigned ()
Calandrinia acaulis	forb
Primula acaulis	forb
Potentilla acaulis	forb
Cirsium acaulon	not assigned ()
Onopordum acaulon	not assigned ()
Cirsium acaulos	forb
Protea acaulos	not assigned (shrub)
Telosma accedens	not assigned ()
Litsea accedens	not assigned (tree)
Eucalyptus accedens	not assigned (tree)
Deyeuxia accedens	grass
Coussarea accedens	not assigned (tree)
Litsea accedentoides	not assigned ()
Senna acclinis	not assigned (legume?)
Acacia accola	not assigned (shrub/tree)
Vernonia accommodata	not assigned (herb/shrub)
Cyrtococcum accrescens	grass
Rubus accrescens	not assigned (shrub)
Schoutenia accrescens	not assigned ()
Erigeron acer	forb
Grevillea acerata	not assigned ()
Hovenia acerba	not assigned (tree)
Omphacomeria acerba	not assigned ()
Platanus acerifolia	not assigned (tree)
Clematis acerifolia	not assigned (shrub)
Dombeya acerifolia	not assigned (tree)
Sterculia acerifolia	not assigned ()
Viburnum acerifolium	not assigned (shrub)
Pterocarpus acerifolium	not assigned (legume?)
Brachychiton acerifolium	not assigned ()
Pterospermum acerifolium	not assigned (tree)
Brachychiton acerifolius	not assigned (tree)
Croton aceroides	not assigned (tree)
Heteropterys aceroides	not assigned ()
Iva acerosa	not assigned ()
Oxytenia acerosa	not assigned ()
Thymophylla acerosa	not assigned ()
Zinnia acerosa	not assigned ()
Cyathodes acerosa	not assigned ()
Richea acerosa	not assigned (shrub)
Melaleuca acerosa	not assigned (shrub)
Monanthochloe acerosa	grass
Persoonia acerosa	not assigned ()
Nenax acerosa	not assigned ()
Monantochloe acerosa	not assigned ()
Hypericum acerosum	not assigned ()
Dendrobium acerosum	forb
Euphorbia acervata	not assigned (shrub)
Taraxacum acervatulum	not assigned ()
Ballota acetabulosa	not assigned (shrub)
Salvia acetabulosa	not assigned ()
Rheum acetosa	forb
Rumex acetosa	forb
Ampelocissus acetosa	not assigned (shrub)
Sapium acetosella	forb
Hibiscus acetosella	not assigned (herb/shrub)
Oxalis acetosella	forb
Rumex acetosella	forb
Pelargonium acetosum	not assigned ()
Calytrix achaeta	not assigned (shrub)
Stevia achalensis	forb
Gentiana achalensis	forb
Juncus achalensis	grass
Aristida achalensis	grass
Ixodia achillaeoides	not assigned ()
Gilia achilleaefolia	not assigned ()
Gilia achilleifolia	not assigned ()
Gigantochloa achmadii	grass
Myrsine achradifolia	not assigned ()
Rapanea achradifolia	not assigned ()
Festuca achtarovii	grass
Lantana achyranthifolia	not assigned ()
Cyathula achyranthoides	forb
Hypochoeris achyrophorus	forb
Dendrobium aciculare	forb
Dichanthelium aciculare	grass
Carduus acicularis	not assigned ()
Gnephosis acicularis	not assigned ()
Opuntia acicularis	not assigned ()
Dianthus acicularis	forb
Eleocharis acicularis	grass
Fimbristylis acicularis	grass
Hibbertia acicularis	not assigned ()
Daviesia acicularis	not assigned (legume?)
Dillwynia acicularis	not assigned (legume?)
Kunzea acicularis	not assigned (shrub)
Aciachne acicularis	grass
Chionochloa acicularis	grass
Chloris acicularis	grass
Ehrharta acicularis	grass
Enteropogon acicularis	grass
Orites acicularis	not assigned ()
Rosa acicularis	not assigned (shrub)
Neolitsea aciculata	not assigned ()
Chrysopogon aciculatus	grass
Oxylobium aciculiferum	not assigned (legume?)
Podolobium aciculiferum	not assigned (legume?)
Lannea acida	not assigned (tree)
Gossia acmenoides	not assigned ()
Elaeocarpus acmocarpus	not assigned ()
Salix acmophylla	not assigned ()
Hypericum acmosepalum	not assigned ()
Acomis acoma	forb
Corybas aconitiflorus	forb
Ampelopsis aconitifolia	not assigned (shrub)
Cnidoscolus aconitifolius	not assigned ()
Phaseolus aconitifolius	not assigned (legume?)
Ranunculus aconitifolius	forb
Disa aconitoides	forb
Helmholtzia acorifolia	forb
Forsteronia acouci	not assigned ()
Isocoma acradenia	not assigned (herb/shrub)
Acacia acradenia	not assigned (shrub/tree)
Haplopappus acradenius	not assigned ()
Eragrostis acraea	grass
Myrsine acrantha	not assigned ()
Rapanea acrantha	not assigned ()
Erythroxylum acranthum	not assigned ()
Sedum acre	forb
Tapura acreana	not assigned (tree)
Inga acreana	not assigned (tree)
Gouania acreana	not assigned ()
Guettarda acreana	not assigned ()
Calycophyllum acreanum	not assigned (tree)
Stenostomum acreanum	not assigned ()
Zanthoxylum acreanum	not assigned (tree)
Costus acreanus	forb
Eugenia acrensis	not assigned ()
Acacia acrionastes	not assigned (tree)
Erigeron acris	forb
Diplotaxis acris	not assigned ()
Pimenta acris	not assigned ()
Ranunculus acris	forb
Serruria acrocarpa	not assigned ()
Vernonia acrocephala	forb
Inga acrocephala	not assigned (tree)
Cayratia acris	not assigned (shrub)
